Título,Preço,Classificação,Categoria
A Light in the Attic,£51.77,Three,Poetry
Tipping the Velvet,£53.74,One,Historical Fiction
Soumission,£50.10,One,Fiction
Sharp Objects,£47.82,Four,Mystery
Sapiens: A Brief History of Humankind,£54.23,Five,History
The Requiem Red,£22.65,One,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default
The Black Maria,£52.15,One,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default
Shakespeare's Sonnets,£20.66,Four,Poetry
Set Me Free,£17.46,Five,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art
Rip it Up and Start Again,£35.02,Five,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music
Olio,£23.88,One,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction
Libertarianism for Beginners,£51.33,Two,Politics
It's Only the Himalayas,£45.17,Two,Travel
In Her Wake,£12.84,One,Thriller
How Music Works,£37.32,Two,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink
Chase Me (Paris Nights #2),£25.27,Five,Romance
Black Dust,£34.53,Five,Romance
Birdsong: A Story in Pictures,£54.64,Three,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default
Aladdin and His Wonderful Lamp,£53.13,Three,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,Nonfiction
Wall and Piece,£44.18,Four,Art
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,Nonfiction
The Elephant Tree,£23.82,Five,Thriller
The Bear and the Piano,£36.89,One,Childrens
Sophie's World,£15.94,Five,Philosophy
Penny Maybe,£33.29,Three,Default
Maude (1883-1993):She Grew Up with the country,£18.02,Two,Default
"In a Dark, Dark Wood",£19.63,One,Mystery
Behind Closed Doors,£52.22,Four,Thriller
You can't bury them all: Poems,£33.63,Two,Poetry
Slow States of Collapse: Poems,£57.31,Three,Poetry
Reasons to Stay Alive,£26.41,Two,Nonfiction
Private Paris (Private #10),£47.61,Five,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,Nonfiction
Without Borders (Wanderlove #1),£45.07,Two,New Adult
When We Collided,£31.77,One,Contemporary
"We Love You, Charlie Freeman",£50.27,Five,Fiction
Untitled Collection: Sabbath Poems 2014,£14.27,Four,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,Nonfiction
Unicorn Tracks,£18.78,Three,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,Nonfiction
This One Summer,£19.49,Four,Sequential Art
Thirst,£17.27,Five,Fiction
The Torch Is Passed: A Harding Family Story,£19.09,One,Add a comment
The Secret of Dreadwillow Carse,£56.13,One,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,Food and Drink
The Past Never Ends,£56.50,Four,Mystery
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,Young Adult
The Nameless City (The Nameless City #1),£38.16,Four,Sequential Art
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,Nonfiction
The Death of Humanity: and the Case for Life,£58.11,Four,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,Health
The Art Forger,£40.76,Three,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,Nonfiction
Soul Reader,£39.58,Two,Default
Security,£39.25,Two,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,Fantasy
"Pop Gun War, Volume 1: Gift",£18.97,One,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,History
Patience,£10.16,Three,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,Self Help
On a Midnight Clear,£14.07,Three,Add a comment
Obsidian (Lux #1),£14.86,Two,Young Adult
My Paris Kitchen: Recipes and Stories,£33.37,Two,Food and Drink
Masks and Shadows,£56.40,Two,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,Add a comment
Join,£35.67,Five,Science Fiction
In the Country We Love: My Family Divided,£22.00,Four,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,Five,Science
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,Two,Sequential Art
I am a Hero Omnibus Volume 1,£54.63,Three,Sequential Art
How to Be Miserable: 40 Strategies You Already Use,£46.03,One,Self Help
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,Romance
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,Two,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,Historical Fiction
First and First (Five Boroughs #3),£15.97,Four,Romance
Fifty Shades Darker (Fifty Shades #2),£21.96,One,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,Two,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,Two,Religion
Danganronpa Volume 1,£51.99,Four,Sequential Art
Crown of Midnight (Throne of Glass #2),£43.29,Three,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,Four,Sequential Art
Camp Midnight,£17.08,Four,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,Five,Nonfiction
Burning,£28.81,Three,Young Adult
Bossypants,£49.46,Two,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,Two,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,Two,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,One,Nonfiction
A World of Flavor: Your Gluten Free Passport,£42.95,One,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,Five,Default
A Murder in Time,£16.64,One,Mystery
A Flight of Arrows (The Pathfinders #2),£55.53,Five,Historical Fiction
A Fierce and Subtle Poison,£28.13,Four,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,One,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,Five,Christian
You Are What You Love: The Spiritual Power of Habit,£21.87,Four,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,Four,Science Fiction
Tuesday Nights in 1980,£21.04,Two,Fiction
Tracing Numbers on a Train,£41.60,Three,Default
Throne of Glass (Throne of Glass #1),£35.07,Three,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,One,History
Thirteen Reasons Why,£52.72,One,Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,Four,Childrens
The Wedding Dress,£24.12,One,Romance
The Vacationers,£42.15,Four,Fiction
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,Five,Business
The Stranger,£17.44,Four,Philosophy
The Shadow Hero (The Shadow Hero),£33.14,One,Sequential Art
The Secret (The Secret #1),£27.37,Four,Default
The Regional Office Is Under Attack!,£51.36,Five,Fiction
The Psychopath Test: A Journey Through the Madness Industry,£36.00,Two,Default
The Project,£10.65,One,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,Two,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,Two,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,Five,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,Mystery
The Mistake (Off-Campus #2),£43.29,Three,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,One,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,Two,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,One,Crime
The Kite Runner,£41.82,Four,Default
The House by the Lake,£36.95,One,Historical Fiction
The Glittering Court (The Glittering Court #1),£44.28,One,Fantasy
The Girl on the Train,£55.02,Two,Default
The Genius of Birds,£17.24,One,Nonfiction
The Emerald Mystery,£23.15,Two,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,One,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,Three,Default
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,Five,Nonfiction
The Art of War,£33.34,Five,Default
The Argonauts,£10.93,Two,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,Three,Business
Suddenly in Love (Lake Haven #1),£55.99,Two,Romance
Something More Than This,£16.24,Four,Romance
Soft Apocalypse,£26.12,Two,Science Fiction
So You've Been Publicly Shamed,£12.23,Two,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,Two,Business
"Shobu Samurai, Project Aryoku (#3)",£29.06,Three,Add a comment
Secrets and Lace (Fatal Hearts #1),£20.27,One,Default
Scarlett Epstein Hates It Here,£43.55,Five,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,One,Default
Redeeming Love,£20.47,Five,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,One,Default
Poems That Make Grown Women Cry,£14.19,Four,Poetry
"Nightingale, Sing",£38.28,One,Young Adult
Night Sky with Exit Wounds,£41.05,One,Poetry
Mrs. Houdini,£30.25,Five,Historical Fiction
Modern Romance,£28.26,Five,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,One,Default
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,Two,Biography
Little Red,£13.47,Three,Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,Five,Young Adult
Large Print Heart of the Pride,£19.15,Two,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,Four,Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,One,Fantasy
Grumbles,£22.16,Two,Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,Travel
Frostbite (Vampire Academy #2),£29.99,Five,Young Adult
Follow You Home,£21.36,One,Horror
First Steps for New Christians (Print Edition),£29.00,One,Default
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,Four,Sequential Art
Eureka Trivia 6.0,£54.59,Four,Default
Drive: The Surprising Truth About What Motivates Us,£34.95,Four,Default
Done Rubbed Out (Reightman & Bailey #1),£37.72,Five,Default
Doing It Over (Most Likely To #1),£35.61,Three,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,Three,Food and Drink
Dark Notes,£19.19,Five,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,Three,Nonfiction
Close to You,£49.46,Four,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,£37.80,Two,Spirituality
Big Magic: Creative Living Beyond Fear,£30.80,Three,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,Two,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),£11.11,Two,Default
Batman: The Long Halloween (Batman),£36.50,Two,Sequential Art
Batman: The Dark Knight Returns (Batman),£15.38,Five,Sequential Art
Ayumi's Violin,£15.48,Two,Default
Anonymous,£46.82,Four,Default
Amy Meets the Saints and Sages,£18.46,Three,Default
Amid the Chaos,£36.58,One,Cultural
Amatus,£50.54,Five,Default
Agnostic: A Spirited Manifesto,£12.51,Five,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,£24.70,Three,History
You (You #1),£43.61,Five,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,Four,Sequential Art
Wild Swans,£14.36,Two,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,Four,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,Four,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,Two,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,One,Sequential Art
Walt Disney's Alice in Wonderland,£12.96,Five,Childrens
V for Vendetta (V for Vendetta Complete),£37.10,Four,Default
Until Friday Night (The Field Party #1),£46.31,Two,Young Adult
